Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,46.000000,46.500000,45.750000,45.750000,44.849998,54457300
2019-08-06,45.250000,45.750000,45.250000,45.500000,44.604916,63979300
2019-08-07,45.500000,45.750000,45.000000,45.000000,44.114754,61688200
2019-08-08,45.000000,45.250000,44.000000,44.250000,43.379509,89147100
2019-08-09,44.250000,44.750000,44.000000,44.250000,43.379509,40806300
2019-08-13,44.000000,44.250000,42.500000,43.000000,42.154099,101437800
2019-08-14,43.500000,44.000000,43.000000,43.250000,42.399178,84574000
2019-08-15,,,,,,99627300
2019-08-16,42.500000,43.000000,42.250000,42.750000,41.909016,43127600000
2019-08-19,43.000000,43.500000,42.750000,43.250000,42.399178,47577500
2019-08-20,43.500000,43.500000,42.500000,42.750000,41.909016,33490200
2019-08-21,43.000000,43.500000,42.750000,43.000000,42.154099,29780800
2019-08-22,42.500000,42.750000,42.000000,42.250000,41.418850,83616100
2019-08-23,42.500000,42.750000,42.250000,42.500000,41.663933,20612900
2019-08-26,41.750000,42.000000,41.000000,41.000000,40.193443,88299000
2019-08-27,41.250000,41.500000,40.750000,40.750000,39.948360,80169300
2019-08-28,41.000000,41.250000,40.750000,41.000000,40.193443,28287600
2019-08-29,41.250000,43.500000,41.000000,43.250000,42.399178,109703100
2019-08-30,43.750000,44.500000,43.500000,44.250000,43.379509,94049500
2019-09-02,44.000000,44.250000,43.500000,43.500000,42.644260,48614200
2019-09-03,null,null,null,null,null,null
2019-09-04,43.250000,43.750000,42.750000,43.500000,42.644260,45669600
2019-09-05,44.250000,44.500000,44.000000,44.250000,43.379509,51698600
2019-09-06,44.500000,44.750000,44.250000,44.500000,43.624588,29316600
2019-09-09,44.500000,45.000000,44.250000,45.000000,44.114754,33094400
2019-09-10,45.250000,45.500000,45.000000,45.500000,44.604916,44756700
2019-09-11,45.250000,45.750000,45.000000,45.750000,44.849998,43756200
2019-09-12,45.750000,46.250000,45.500000,45.500000,44.604916,37933400
2019-09-13,45.500000,45.750000,45.250000,45.500000,44.604916,37103000
2019-09-16,46.750000,47.250000,46.750000,47.000000,46.075409,1095727000
2019-09-17,47.250000,47.750000,47.000000,47.250000,46.320492,83573700
2019-09-18,46.500000,46.750000,45.500000,45.750000,44.849998,91383800
2019-09-19,45.500000,45.750000,45.000000,45.250000,44.359837,46595800
2019-09-20,45.000000,45.750000,44.750000,45.500000,44.604916,72291500
2019-09-23,45.500000,46.000000,45.000000,45.750000,44.849998,43060500
2019-09-24,45.750000,46.500000,45.750000,46.250000,45.340164,39281300
2019-09-25,45.750000,46.000000,45.500000,46.000000,45.095081,38430600
2019-09-26,46.000000,46.500000,46.000000,46.000000,45.095081,41834400
2019-09-27,46.000000,46.250000,45.750000,46.000000,45.095081,42434900
2019-09-30,46.250000,46.250000,45.750000,46.250000,45.340164,48000500
2019-10-01,null,null,null,null,null,null
2019-10-02,45.500000,45.750000,45.250000,45.750000,44.849998,41306600
2019-10-03,45.500000,45.750000,45.250000,45.500000,44.604916,51159300
2019-10-04,45.750000,46.000000,45.500000,45.750000,44.849998,18036800
2019-10-07,45.750000,46.000000,45.500000,46.000000,45.095081,24833700
2019-10-08,46.250000,46.500000,45.750000,45.750000,44.849998,25986400
2019-10-09,46.000000,46.000000,45.500000,45.750000,44.849998,28119300
2019-10-10,45.000000,45.250000,44.500000,44.500000,44.500000,44578000
2019-10-11,null,null,null,null,null,null